student_ID,course_ID,n
86836,FrScA-S216-01,40
86836,OcnA-S116-01,3
86882,FrScA-S116-03,37
86942,AnPhA-S216-01,13
86943,OcnA-S116-01,20
87001,OcnA-S116-02,10
87010,FrScA-S116-01,44
87020,FrScA-S216-01,20
87027,FrScA-S116-01,26
87043,AnPhA-S116-01,22
87081,BioA-S116-01,6
87093,FrScA-S116-01,26
87122,OcnA-S116-02,5
87163,FrScA-S116-01,37
87166,AnPhA-S116-01,20
87171,PhysA-S116-01,18
87209,OcnA-S116-02,11
87484,FrScA-S116-01,31
87485,FrScA-S116-01,18
87489,FrScA-S116-01,24
87504,FrScA-S116-01,17
87552,BioA-S116-01,15
87579,FrScA-S116-01,40
87670,OcnA-S216-01,17
87689,BioA-T116-01,13
87693,FrScA-T116-01,41
87805,FrScA-S116-01,39
87825,OcnA-S216-01,17
87861,FrScA-S216-01,41
87865,AnPhA-T116-01,12
87866,FrScA-T116-01,36
87905,FrScA-S116-01,37
87906,FrScA-S116-01,32
87914,FrScA-S116-01,40
87927,FrScA-S116-01,37
87970,OcnA-S116-01,24
87988,FrScA-S216-02,1
88048,FrScA-S216-02,33
88050,AnPhA-S116-01,7
88068,AnPhA-S116-01,23
88075,FrScA-S116-04,41
88091,PhysA-S116-01,20
88099,AnPhA-S116-01,18
88153,AnPhA-S116-01,16
88166,OcnA-S116-02,16
88168,OcnA-S116-02,21
88261,FrScA-S116-01,37
88296,PhysA-S116-01,8
88307,OcnA-S116-03,6
88311,FrScA-S216-04,36
88381,PhysA-S116-01,13
88409,FrScA-S116-03,28
88440,AnPhA-S216-01,13
88440,OcnA-S116-01,11
88474,OcnA-S216-01,1
88481,PhysA-S116-01,9
88493,FrScA-S116-01,3
88501,FrScA-S116-01,28
88504,OcnA-S216-01,1
88527,FrScA-S116-01,39
88568,BioA-S116-01,18
88596,FrScA-S216-01,35
88612,AnPhA-S216-01,23
88636,FrScA-S116-03,23
88641,AnPhA-S116-01,32
88642,OcnA-S216-02,17
88803,OcnA-S216-02,4
88835,FrScA-S116-03,23
88836,FrScA-S116-03,18
88845,FrScA-S216-01,40
88849,OcnA-S216-01,18
88854,FrScA-S216-01,19
88854,OcnA-S116-01,8
88864,OcnA-S216-02,11
88868,FrScA-S116-03,35
88874,FrScA-S116-03,7
88886,FrScA-S116-03,30
88979,AnPhA-S216-02,8
88995,AnPhA-T116-01,24
89005,AnPhA-T116-01,21
89114,OcnA-S116-01,22
89128,FrScA-S116-01,38
89142,AnPhA-S116-01,28
89144,FrScA-S116-03,40
89165,FrScA-S116-03,41
89194,AnPhA-S116-01,20
89295,PhysA-S116-01,6
89300,BioA-S116-01,1
89333,FrScA-S216-01,40
89345,FrScA-S216-01,1
89374,FrScA-S216-01,15
89376,FrScA-S116-03,37
89388,FrScA-S116-03,40
89395,PhysA-S116-01,19
89425,PhysA-S116-01,21
89435,OcnA-S116-01,25
89487,OcnA-S116-01,21
89490,PhysA-S116-01,20
89918,AnPhA-S116-01,13
89994,FrScA-S216-02,36
90029,FrScA-S216-01,13
90090,OcnA-S116-02,11
90095,FrScA-S116-01,40
90097,FrScA-S116-03,35
90098,FrScA-S116-03,37
90253,BioA-S116-01,12
90274,FrScA-S116-03,40
90277,FrScA-S216-01,39
90305,AnPhA-S116-01,26
90326,PhysA-S116-01,12
90333,PhysA-S116-01,17
90370,FrScA-S116-03,10
90372,FrScA-S116-03,24
90394,AnPhA-S116-02,23
90394,FrScA-S216-01,22
90395,AnPhA-S116-02,14
90396,AnPhA-S116-02,24
90397,AnPhA-S116-02,17
90398,AnPhA-S116-02,26
90399,AnPhA-S116-02,27
90430,BioA-S116-01,16
90433,FrScA-S116-01,35
90466,BioA-S116-01,24
90516,AnPhA-T116-01,20
90562,OcnA-S116-01,10
90589,FrScA-S116-03,4
90622,FrScA-S216-01,36
90636,FrScA-S216-01,23
90855,FrScA-S116-03,34
90861,OcnA-S116-01,12
90878,FrScA-S116-03,31
90928,OcnA-S116-01,18
90956,AnPhA-S116-02,25
90971,AnPhA-S116-02,23
90989,FrScA-S216-01,39
90995,AnPhA-S116-02,1
91030,PhysA-S116-01,12
91038,PhysA-S116-01,16
91065,AnPhA-S116-02,1
91066,BioA-S116-01,3
91067,BioA-S116-01,24
91163,OcnA-S216-02,12
91164,AnPhA-S216-02,26
91173,FrScA-S116-01,23
91175,AnPhA-S116-02,28
91176,FrScA-S116-04,43
91212,FrScA-S216-01,36
91252,OcnA-S216-02,10
91300,BioA-S116-01,18
91313,AnPhA-S216-01,21
91319,AnPhA-S116-02,20
91320,AnPhA-S116-02,12
91326,AnPhA-S216-01,12
91326,FrScA-S116-04,27
91340,FrScA-S116-02,33
91351,BioA-S116-01,6
91410,FrScA-S216-02,4
91471,FrScA-S116-01,28
91477,FrScA-S116-04,47
91550,FrScA-S216-02,8
91574,AnPhA-S116-02,26
91575,PhysA-S116-01,19
91607,FrScA-S216-02,16
91611,BioA-S116-01,21
91619,AnPhA-S116-02,3
91624,BioA-S116-01,22
91633,PhysA-S116-01,12
91634,AnPhA-S116-02,23
91635,OcnA-S116-01,18
91672,AnPhA-S116-02,19
91709,AnPhA-S116-02,16
91771,AnPhA-S116-02,3
91818,OcnA-S116-01,23
91821,PhysA-S116-01,6
91932,AnPhA-S116-02,15
91943,FrScA-S216-02,35
92021,OcnA-S116-02,21
92124,FrScA-S216-01,12
92143,FrScA-S116-01,35
92152,BioA-S116-01,21
92185,AnPhA-S116-02,25
92214,FrScA-S116-01,40
92510,BioA-S116-01,27
92511,PhysA-S116-01,7
92604,FrScA-S116-03,5
92606,BioA-S116-01,1
92724,PhysA-S116-01,18
92725,PhysA-S116-01,10
92726,PhysA-S116-01,19
92727,PhysA-S116-01,19
92729,PhysA-S116-01,18
92732,PhysA-S116-01,9
92733,PhysA-S116-01,19
92740,PhysA-S116-01,18
92741,PhysA-S116-01,21
92743,PhysA-S116-01,20
94070,FrScA-S216-01,41
94135,FrScA-S216-01,40
94156,FrScA-S216-01,36
94172,FrScA-S216-01,42
94189,PhysA-S216-01,16
94219,AnPhA-S216-02,1
94240,OcnA-S216-02,18
94246,AnPhA-S216-01,13
94251,PhysA-S216-01,17
94257,FrScA-S216-01,37
94288,FrScA-S216-01,33
94292,FrScA-S216-01,40
94319,OcnA-S216-01,19
94323,OcnA-S216-01,24
94327,OcnA-S216-02,7
94331,FrScA-S216-01,6
94332,FrScA-S216-01,38
94356,FrScA-S216-01,4
94369,FrScA-S216-03,25
94370,FrScA-S216-01,35
94376,FrScA-S216-01,39
94400,FrScA-S216-01,37
94402,FrScA-S216-01,36
94404,FrScA-S216-01,36
94419,FrScA-S216-01,30
94542,AnPhA-S216-02,10
94545,AnPhA-S216-02,12
94550,AnPhA-S216-02,23
94556,OcnA-S216-02,12
94577,OcnA-S216-02,14
94586,FrScA-S216-01,39
94590,OcnA-S216-01,6
94630,OcnA-S216-01,1
94654,OcnA-S216-01,12
94661,FrScA-S216-01,39
94691,AnPhA-S216-01,6
94717,OcnA-S216-01,13
94744,OcnA-S216-01,24
94756,FrScA-S216-01,24
94805,AnPhA-S216-01,29
94824,FrScA-S216-01,43
94846,AnPhA-S216-01,17
94869,FrScA-S216-01,20
94872,AnPhA-S216-01,16
94876,OcnA-S216-02,2
94898,AnPhA-S216-02,18
94903,AnPhA-S216-02,20
94956,OcnA-S216-01,5
94970,PhysA-S216-01,18
95005,FrScA-S216-01,41
95014,AnPhA-S216-01,26
95017,AnPhA-S216-02,18
95041,AnPhA-S216-02,6
95045,FrScA-S216-01,30
95091,OcnA-S216-01,14
95114,AnPhA-S216-01,2
95160,AnPhA-S216-02,24
95165,FrScA-S216-01,39
95264,AnPhA-S216-02,6
95266,PhysA-S216-01,20
95283,AnPhA-S216-01,23
95283,PhysA-S216-01,5
95360,FrScA-S216-01,33
95368,OcnA-S216-02,14
95375,OcnA-S216-02,17
95377,AnPhA-S216-02,21
95449,FrScA-S216-01,13
95476,FrScA-S216-02,24
95485,FrScA-S216-01,23
95504,OcnA-S216-01,6
95533,OcnA-S216-01,5
95545,AnPhA-S216-01,23
95578,PhysA-S216-01,19
95594,AnPhA-S216-01,2
95601,AnPhA-S216-01,20
95618,AnPhA-S216-01,26
95620,AnPhA-S216-01,20
95621,FrScA-S216-01,40
95624,OcnA-S216-02,20
95632,FrScA-S216-01,34
95633,FrScA-S216-01,12
95634,AnPhA-S216-01,25
95658,BioA-S216-01,3
95707,BioA-S216-01,12
95725,OcnA-S216-01,13
95726,FrScA-S216-01,34
95738,OcnA-S216-01,1
95743,FrScA-S216-01,42
95770,OcnA-S216-01,22
95868,OcnA-S216-02,13
95896,FrScA-S216-01,21
95915,AnPhA-S216-01,13
95919,AnPhA-S216-02,24
95919,FrScA-S216-02,36
95921,OcnA-S216-02,11
95923,FrScA-S216-02,40
95925,FrScA-S216-02,35
95957,AnPhA-S216-01,19
95989,FrScA-S216-01,38
95991,FrScA-S216-01,22
96048,FrScA-S216-04,26
96082,FrScA-S216-02,40
96090,PhysA-S216-01,6
96121,OcnA-S216-01,18
96134,FrScA-S216-02,46
96142,FrScA-S216-02,37
96189,FrScA-S216-02,40
96228,AnPhA-S216-01,19
96280,FrScA-S216-02,39
96345,OcnA-S216-01,20
96373,OcnA-S216-01,21
96374,OcnA-S216-01,19
96412,OcnA-S216-01,18
96414,FrScA-S216-02,24
96433,FrScA-S216-02,40
96472,PhysA-S216-01,12
96590,PhysA-S216-01,6
96640,AnPhA-S216-01,3
96671,OcnA-S216-01,4
96677,AnPhA-S216-01,1
96680,AnPhA-S216-01,1
96689,OcnA-S216-01,16
96690,AnPhA-S216-01,25
96720,AnPhA-S216-01,3
96756,OcnA-S216-01,20
96769,FrScA-S216-02,22
96808,PhysA-S216-01,12
96826,AnPhA-S216-02,19
96841,FrScA-S216-02,35
96853,AnPhA-S216-01,26
96854,AnPhA-S216-01,21
96856,OcnA-S216-01,1
96867,PhysA-S216-01,19
96871,AnPhA-S216-02,20
96950,BioA-S216-01,23
96959,AnPhA-S216-01,10
96994,AnPhA-S216-01,24
97006,OcnA-S216-01,3
97150,PhysA-S216-01,18
97272,OcnA-S216-01,12
97374,BioA-S216-01,2
97386,BioA-S216-01,1
97441,FrScA-S216-02,1
