student_ID,course_ID,subject,semester,section,pre_int,pre_uv,pre_percomp,pre_tv,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,post_int,post_uv,post_tv,post_percomp,date,intervention_dummy,gender,enrollment_reason,enrollment_status,final_grade,time_spent,ts_60,male_dummy,final_grade_s
67762,FrScA-S116-02,FrScA,S116,02,5,4.666666666666667,3.5,4.857142857142857,5,4,4,5,5,5,3,5,5,5,NA,NA,NA,NA,NA,0,F,Course Unavailable at Local School,Approved/Enrolled,83.41324201,801.2336,13.353893333333334,0,0.2821037610475747
67920,OcnA-S116-01,OcnA,S116,01,4.8,4.333333333333333,4.5,4.571428571428571,4,4,4,5,5,4,5,5,5,5,5,4.666666666666667,4.857142857142857,5,NA,1,M,Course Unavailable at Local School,Approved/Enrolled,90.70351759,4094.9995,68.24999166666666,1,0.6221600786708797
68022,OcnA-S216-01,OcnA,S216,01,4.8,4,3.5,4.428571428571429,5,4,3,5,5,4,4,4,4,5,NA,NA,NA,NA,NA,0,F,Course Unavailable at Local School,Approved/Enrolled,90.95979899,39.7504,0.6625066666666667,0,0.6341143742531248
68188,FrScA-S116-01,FrScA,S116,01,5,2.6666666666666665,5,4,5,1,5,5,5,5,5,5,2,5,NA,NA,NA,NA,NA,1,M,Course Unavailable at Local School,Approved/Enrolled,92.46575342,583.2498,9.720830000000001,1,0.7043599105644289
68476,OcnA-S116-02,OcnA,S116,02,4,3.6666666666666665,4,3.857142857142857,4,3,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,0,F,Course Unavailable at Local School,Approved/Enrolled,94.57956449,969.4666,16.157776666666667,0,0.8029590376793984
68598,BioA-S116-01,BioA,S116,01,4.2,3.3333333333333335,4,3.857142857142857,4,3,4,4,4,3,4,4,4,5,NA,NA,NA,NA,NA,1,F,Learning Preference of the Student,Approved/Enrolled,87.24408602,3331.6169,55.52694833333333,0,0.4607942224896226
68768,FrScA-S116-02,FrScA,S116,02,4.6,2.6666666666666665,4,3.7142857142857144,4,3,3,5,4,3,5,5,2,5,NA,NA,NA,NA,NA,0,F,Course Unavailable at Local School,Approved/Enrolled,64.76027397,1966.0169,32.76694833333333,0,-0.5879675489902827
68795,FrScA-S216-01,FrScA,S216,01,5,3.6666666666666665,4.5,4.428571428571429,5,2,4,5,5,4,5,5,5,5,NA,NA,NA,NA,NA,0,F,Course Unavailable at Local School,Approved/Enrolled,83.06997743,3022.5333,50.375555,0,0.2660921181728462
69072,FrScA-S116-01,FrScA,S116,01,4,2.6666666666666665,3.5,3.4285714285714284,4,3,3,4,4,3,4,4,2,4,NA,NA,NA,NA,NA,1,F,Course Unavailable at Local School,Approved/Enrolled,93.60730594,956.1665,15.936108333333333,0,0.7576078491457584
69182,FrScA-S216-01,FrScA,S216,01,3.8,3.3333333333333335,3,3.5714285714285716,4,3,2,4,4,4,4,4,3,3,NA,NA,NA,NA,NA,0,F,Course Unavailable at Local School,Approved/Enrolled,91.19638826,444.4832,7.408053333333333,0,0.6451501266142706
69397,FrScA-S216-01,FrScA,S216,01,4.4,3.6666666666666665,4,4,4,4,3,5,4,4,5,5,3,4,NA,NA,NA,NA,NA,0,F,Course Unavailable at Local School,Approved/Enrolled,94.69525959,1087.6003,18.126671666666667,0,0.8083556580459859
69743,AnPhA-S216-01,AnPhA,S216,01,4.2,4.666666666666667,4,4.285714285714286,4,5,3,5,4,4,5,4,5,4,NA,NA,NA,NA,NA,0,F,Course Unavailable at Local School,Approved/Enrolled,85.4714656,7084.7003,118.07833833333333,0,0.37810999938250717
70037,FrScA-S116-01,FrScA,S116,01,5,4.666666666666667,4,4.857142857142857,5,4,3,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,1,F,Course Unavailable at Local School,Approved/Enrolled,93.37899543,2591.1496,43.18582666666667,0,0.7469582611496214
70068,FrScA-S116-03,FrScA,S116,03,4.8,2.3333333333333335,3,3.7142857142857144,5,2,3,5,5,3,3,5,2,4,NA,NA,NA,NA,NA,1,F,Course Unavailable at Local School,Approved/Enrolled,95.37671233,2101.933,35.03221666666666,0,0.8401421532004956
70187,PhysA-S216-01,PhysA,S216,01,4.4,4,4.5,4.142857142857143,4,4,4,5,4,4,5,4,4,5,NA,NA,NA,NA,NA,0,F,Scheduling Conflict,Approved/Enrolled,78.125,719.1165,11.985275,0,0.03543268738406484
70192,AnPhA-S116-02,AnPhA,S116,02,4.8,4.333333333333333,4,4.571428571428571,5,4,4,5,4,5,4,5,4,5,NA,NA,NA,NA,NA,0,F,Scheduling Conflict,Approved/Enrolled,95.96,1537.1834,25.619723333333333,0,0.8673497196359025
70408,BioA-S116-01,BioA,S116,01,3.4,2.6666666666666665,2.5,3.142857142857143,4,3,2,3,4,3,3,3,2,3,1.75,1.6666666666666667,1.7142857142857142,2,NA,1,F,Learning Preference of the Student,Approved/Enrolled,91.50537634,6664.4499,111.074165,0,0.6595629355021196
70532,AnPhA-S116-01,AnPhA,S116,01,4.6,4.666666666666667,4,4.571428571428571,5,5,4,5,5,5,4,4,4,4,NA,NA,NA,NA,NA,1,F,Learning Preference of the Student,Approved/Enrolled,93.64,2938.4666,48.97444333333333,0,0.7591328699120865
70681,BioA-S116-01,BioA,S116,01,4.8,4.333333333333333,3.5,4.571428571428571,5,4,4,5,4,5,3,5,4,5,NA,NA,NA,NA,NA,1,F,Learning Preference of the Student,Approved/Enrolled,90.23655914,2602.2333,43.370554999999996,0,0.6003787112523811
71110,FrScA-S216-01,FrScA,S216,01,5,4.666666666666667,4.5,4.857142857142857,5,5,4,5,5,5,5,5,4,5,NA,NA,NA,NA,NA,0,F,Course Unavailable at Local School,Approved/Enrolled,88.71331828,2006.4003,33.440005,0,0.5293268460628134
71415,FrScA-S216-01,FrScA,S216,01,4.8,3.6666666666666665,4.5,4.428571428571429,5,4,5,4,5,4,4,5,3,5,NA,NA,NA,NA,NA,0,M,Course Unavailable at Local School,Approved/Enrolled,14.4469526,408.4,6.806666666666667,1,-2.9348421773538025
71434,BioA-S116-01,BioA,S116,01,3.6,2.6666666666666665,3,3.142857142857143,3,3,3,4,4,3,3,4,2,3,3,2.3333333333333335,2.7142857142857144,3.5,NA,1,M,Scheduling Conflict,Approved/Enrolled,83.96021505,1006.3337,16.772228333333334,1,0.30761742452716895
71725,AnPhA-S216-01,AnPhA,S216,01,4.8,4.333333333333333,4,4.571428571428571,5,3,3,5,4,5,5,5,5,5,NA,NA,NA,NA,NA,0,F,Course Unavailable at Local School,Approved/Enrolled,77.2789328,3514.5498,58.575829999999996,0,-0.004032281167077099
72287,FrScA-T116-01,FrScA,T116,01,4.4,3.3333333333333335,4,4,4,3,3,4,5,4,5,5,3,4,NA,NA,NA,NA,NA,0,F,Learning Preference of the Student,Approved/Enrolled,90.86757991,3946.5666,65.77611,0,0.6298127973901817
73132,FrScA-S116-03,FrScA,S116,03,4.6,4.333333333333333,4.5,4.428571428571429,4,5,4,5,4,4,5,5,4,5,NA,NA,NA,NA,NA,1,F,Other,Approved/Enrolled,87.52968037,1746.5501,29.109168333333333,0,0.47411582630682975
74551,PhysA-S116-01,PhysA,S116,01,3.8,3.3333333333333335,3.5,3.5714285714285716,4,4,3,4,4,4,4,4,2,3,NA,NA,NA,NA,NA,1,F,Learning Preference of the Student,Approved/Enrolled,71.67083333,1014.5665,16.909441666666666,0,-0.26562316805552766
74552,AnPhA-S216-02,AnPhA,S216,02,4,4.333333333333333,3.5,4.142857142857143,4,4,3,4,4,5,4,4,4,4,NA,NA,NA,NA,NA,1,F,Other,Approved/Enrolled,96.16,6123.8832,102.06472000000001,0,0.8766787584051972
76132,AnPhA-T116-01,AnPhA,T116,01,5,5,5,5,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,0,F,Other,Approved/Enrolled,95.3392,5037.3331,83.95555166666666,0,0.8383923832960128
76133,PhysA-S116-01,PhysA,S116,01,3.2,3,2.5,3.142857142857143,4,4,2,3,3,3,3,3,2,3,1.5,2.3333333333333335,1.8571428571428572,1.5,NA,1,F,Other,Approved/Enrolled,93.61805556,1276.5167,21.275278333333333,0,0.7581092672544343
76426,PhysA-S116-01,PhysA,S116,01,4.6,4.333333333333333,4.5,4.428571428571429,4,4,4,5,5,5,5,5,4,4,5,4.333333333333333,4.714285714285714,4.5,NA,1,F,Learning Preference of the Student,Approved/Enrolled,95.41666667,850.7329,14.178881666666665,0,0.8420058311348032
76673,AnPhA-S216-01,AnPhA,S216,01,4,4,3.5,4,4,4,4,4,4,4,3,4,4,4,NA,NA,NA,NA,NA,0,F,Course Unavailable at Local School,Approved/Enrolled,92.2,4945.2164,82.42027333333334,0,0.691963790773166
76674,AnPhA-S216-01,AnPhA,S216,01,4.8,5,4,4.857142857142857,5,5,4,5,4,5,4,5,5,5,NA,NA,NA,NA,NA,0,F,Course Unavailable at Local School,Approved/Enrolled,95.8608,2368.4997,39.474995,0,0.8627225164063326
76840,FrScA-S116-01,FrScA,S116,01,5,4.333333333333333,3.5,4.714285714285714,5,4,3,5,5,4,4,5,5,5,5,4,4.571428571428571,3.5,NA,1,F,Course Unavailable at Local School,Approved/Enrolled,92.46575342,2634.6832,43.911386666666665,0,0.7043599105644289
76930,AnPhA-S116-02,AnPhA,S116,02,4.6,4,3.5,4.285714285714286,4,4,4,5,5,5,3,5,3,4,NA,NA,NA,NA,NA,0,F,Learning Preference of the Student,Approved/Enrolled,81.272,2804.9832,46.74972,0,0.1822251124189142
76998,AnPhA-S216-01,AnPhA,S216,01,3.4,3.3333333333333335,4,3.5714285714285716,4,3,3,2,4,4,5,4,3,3,NA,NA,NA,NA,NA,0,F,Course Unavailable at Local School,Approved/Enrolled,40.2389328,1270.0997,21.16832833333333,0,-1.7317702612404207
77010,AnPhA-S116-01,AnPhA,S116,01,NA,3.6666666666666665,3.5,3.857142857142857,4,4,3,NA,4,4,4,4,3,4,NA,NA,NA,NA,NA,1,F,Learning Preference of the Student,Approved/Enrolled,73.1706672,1533.0996,25.551660000000002,0,-0.19566312645187242
77141,FrScA-S216-02,FrScA,S216,02,4.2,4,3.5,4.142857142857143,5,4,3,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,1,F,Course Unavailable at Local School,Approved/Enrolled,82.27990971,3020.7167,50.34527833333333,0,0.2292392562216058
77169,BioA-S116-01,BioA,S116,01,4,3.3333333333333335,3,3.7142857142857144,4,3,3,4,4,4,3,4,3,4,NA,NA,NA,NA,NA,1,M,Scheduling Conflict,Approved/Enrolled,93.8172043,735.0999,12.251665000000001,1,0.7673985988360149
77190,FrScA-S216-01,FrScA,S216,01,5,3.3333333333333335,4.5,4.285714285714286,5,2,4,5,5,4,5,5,4,5,NA,NA,NA,NA,NA,0,F,Other,Approved/Enrolled,92.43792325,763.1498,12.719163333333334,0,0.7030617668899986
77246,FrScA-S116-01,FrScA,S116,01,4.6,4,4,4.285714285714286,5,3,4,5,4,5,4,4,4,5,NA,NA,NA,NA,NA,1,F,Course Unavailable at Local School,Approved/Enrolled,88.35616438,782.5002,13.04167,0,0.5126673331642898
77298,FrScA-S116-02,FrScA,S116,02,4.6,2.6666666666666665,4,3.7142857142857144,4,2,4,5,5,4,4,5,2,4,NA,NA,NA,NA,NA,0,F,Course Unavailable at Local School,Approved/Enrolled,75.46118721,1907.6502,31.79417,0,-0.08882137657619778
77976,FrScA-S116-03,FrScA,S116,03,3.4,2.6666666666666665,3,3.2857142857142856,4,3,2,2,4,3,4,4,2,3,2.75,1.3333333333333333,2.142857142857143,2.5,NA,1,F,Course Unavailable at Local School,Approved/Enrolled,90.59589041,2448.4838,40.80806333333333,0,0.6171397879966302
77980,FrScA-S216-02,FrScA,S216,02,4.4,4.333333333333333,4,4.428571428571429,4,4,4,4,5,4,4,5,5,4,NA,NA,NA,NA,NA,1,F,Course Unavailable at Local School,Approved/Enrolled,93.00225734,3031.3165,50.52194166666666,0,0.7293852399122214
78002,OcnA-S216-02,OcnA,S216,02,3.8,4,3,3.857142857142857,4,4,2,4,4,4,4,4,4,3,NA,NA,NA,NA,NA,1,F,Other,Approved/Enrolled,63.98324958,1290.4502,21.507503333333332,0,-0.6242120022852699
78153,PhysA-S216-01,PhysA,S216,01,4.2,4.666666666666667,4.5,4.285714285714286,4,5,4,5,4,5,5,4,4,4,NA,NA,NA,NA,NA,0,F,Learning Preference of the Student,Approved/Enrolled,99.02777778,1769.8667,29.497778333333333,0,1.0104468088619036
78164,AnPhA-S216-01,AnPhA,S216,01,4.6,4,4,4.428571428571429,4,3,3,4,5,5,5,5,4,5,NA,NA,NA,NA,NA,0,F,Learning Preference of the Student,Approved/Enrolled,76.104,2591.6168,43.19361333333333,0,-0.05883724937965622
78241,OcnA-S216-02,OcnA,S216,02,4.6,3.6666666666666665,3.5,4.142857142857143,4,4,3,5,5,4,4,4,3,5,NA,NA,NA,NA,NA,1,F,Course Unavailable at Local School,Approved/Enrolled,57.24958124,26.9168,0.4486133333333333,0,-0.9383052673024249
78691,FrScA-S116-03,FrScA,S116,03,4,2,3,3.142857142857143,4,1,3,4,4,3,3,4,2,4,2.75,1.3333333333333333,2.142857142857143,5,NA,1,F,Learning Preference of the Student,Approved/Enrolled,92.92237443,1559.9667,25.999444999999998,0,0.7256590860902513
79220,AnPhA-S116-02,AnPhA,S116,02,4,4,3,4,4,4,3,4,4,4,3,4,4,4,NA,NA,NA,NA,NA,0,F,Course Unavailable at Local School,Approved/Enrolled,91.8208,3781.6498,63.02749666666667,0,0.6742759332665839
79352,PhysA-S116-01,PhysA,S116,01,3.8,4,3.5,3.857142857142857,4,5,3,4,4,4,4,4,3,3,NA,NA,NA,NA,NA,1,M,Other,Approved/Enrolled,95.48611111,1062.8665,17.71444166666667,1,0.8452450805001629
